year,value
2010,13.1
2011,23.7
2012,14.1
2013,18.7
2014,15.8
2015,22.1
2016,23.8
2017,14.4
2018,22.9
2019,19.3
2020,17.1
2021,20.3
2022,23.9
2023,26.3
2024,17.8
