year,value
2010,33.3
2011,134.3
2012,110.9
2013,115.2
2014,126.9
2015,177.3
2016,126.1
2017,111.3
2018,165.7
2019,134.6
2020,39.9
2021,93.7
2022,101.3
2023,30.7
2024,115.7
