year,value
2010,0.9
2011,0.6
2012,0.5
2013,0.7
2014,0.7
2015,0.8
2016,0.7
2017,0.7
2018,0.9
2019,0.7
2020,0.7
2021,0.7
2022,0.5
2023,0.5
2024,0.8
