year,value
2010,7.2
2011,15.1
2012,8.9
2013,17.8
2014,7.9
2015,7.9
2016,3.5
2017,8.6
2018,11.8
2019,11
2020,2.8
2021,9.7
2022,21.1
2023,37.2
2024,39.1
