year,value
2010,8.5
2011,16.4
2012,9.2
2013,18.9
2014,8.2
2015,8.7
2016,3.8
2017,8.9
2018,12.9
2019,12.2
2020,3.2
2021,11.2
2022,23.5
2023,43.5
2024,47.4
