year,value
2010,170
2011,140.1
2012,183.2
2013,163.9
2014,206.3
2015,215.3
2016,208.7
2017,219.7
2018,178.5
2019,159.1
2020,129.7
2021,122.4
2022,136
2023,214.3
2024,288.7
