year,value
2010,7.7
2011,7.7
2012,8
2013,9.4
2014,11.1
2015,10.4
2016,13.5
2017,17.9
2018,17.4
2019,13.9
2020,17.3
2021,15.2
2022,11.6
2023,5.6
2024,8.1
