year,value
2010,180.7
2011,207.9
2012,207.2
2013,198
2014,217.2
2015,217.5
2016,212.7
2017,166
2018,211.4
2019,223
2020,229.6
2021,232.4
2022,228.5
2023,230.6
2024,null
