year,value
2010,57.4
2011,59.4
2012,59.9
2013,25.6
2014,36.9
2015,25.4
2016,35.7
2017,33.5
2018,31
2019,23
2020,24.1
2021,23.1
2022,16.6
2023,24.4
2024,27.6
