year,crop,baseline,scenario,split,y_true,y_pred,mae,rmse,mape,order
2021,Соняшник,forecast_linear,trend,validation,2.46,2.441636363636377,0.018363636363623037,0.018363636363623037,0.7464892830741072,
2021,Соняшник,linest_lag_only,lag_only,validation,2.46,1.446355065095378,1.013644934904622,1.013644934904622,41.205078654659424,
2021,Соняшник,arima,trend,validation,2.46,2.3658324526603467,0.09416754733965327,0.09416754733965327,3.8279490788476935,"(1, 1, 0)"
2022,Соняшник,naive_lag1,lag_only,test,2.16,2.46,0.2999999999999998,0.2999999999999998,13.888888888888879,
2022,Соняшник,forecast_linear,trend,test,2.16,2.5153030303030164,0.35530303030301624,0.35530303030301624,16.44921436588038,
2022,Соняшник,linest_lag_only,lag_only,test,2.16,1.4460024687713227,0.7139975312286775,0.7139975312286775,33.05544126058692,
2022,Соняшник,arima,trend,test,2.16,2.351735602788251,0.19173560278825086,0.19173560278825086,8.876648277233835,"(0, 1, 2)"
2023,Соняшник,naive_lag1,lag_only,test,2.45,2.16,0.29000000000000004,0.29000000000000004,11.83673469387755,
2023,Соняшник,forecast_linear,trend,test,2.45,2.474230769230772,0.02423076923077172,0.02423076923077172,0.9890109890110906,
2023,Соняшник,linest_lag_only,lag_only,test,2.45,1.0005791032159355,1.4494208967840647,1.4494208967840647,59.16003660343121,
2023,Соняшник,arima,trend,test,2.45,2.3678662168852984,0.08213378311470176,0.08213378311470176,3.3523993108041537,"(1, 1, 0)"
2024,Соняшник,naive_lag1,lag_only,test,2.18,2.45,0.27,0.27,12.38532110091743,
2024,Соняшник,forecast_linear,trend,test,2.18,2.523846153846165,0.3438461538461648,0.3438461538461648,15.772759350741502,
2024,Соняшник,linest_lag_only,lag_only,test,2.18,2.1398391075668064,0.04016089243319376,0.04016089243319376,1.8422427721648513,
2024,Соняшник,arima,trend,test,2.18,2.2432030097290094,0.06320300972900927,0.06320300972900927,2.8992206297710674,"(1, 1, 0)"
