year,crop,model,scenario,lag_config,split,mae,rmse,mape,n_features,params_json
2021,Пшениця,xgboost,in_season,L1,validation,0.6319666194915765,0.6319666194915765,13.950698002021559,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2022,Пшениця,xgboost,in_season,L1,test,0.12527459144592257,0.12527459144592257,3.187648637300829,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2023,Пшениця,xgboost,in_season,L1,test,0.5666586303710934,0.5666586303710934,12.212470482135634,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2024,Пшениця,xgboost,in_season,L1,test,0.27192958831787095,0.27192958831787095,5.92439190235013,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2019,Пшениця,lightgbm,in_season,L1,validation,0.42103888964535363,0.42103888964535363,10.121127154936385,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Пшениця,lightgbm,in_season,L1,validation,0.030275646900570496,0.030275646900570496,0.796727550015013,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Пшениця,lightgbm,in_season,L1,validation,0.7882692152159132,0.7882692152159132,17.401086428607357,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2022,Пшениця,lightgbm,in_season,L1,test,0.23856292847230787,0.23856292847230787,6.070303523468394,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2023,Пшениця,lightgbm,in_season,L1,test,0.6291446182978282,0.6291446182978282,13.559151256418712,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2024,Пшениця,lightgbm,in_season,L1,test,0.022062767160076824,0.022062767160076824,0.4806703084984058,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2019,Кукурудза,elasticnet,lag_only,L1,validation,0.8191881373225502,0.8191881373225502,11.393437236753131,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2020,Кукурудза,elasticnet,lag_only,L1,validation,1.2846197391284333,1.2846197391284333,22.858002475594898,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2021,Кукурудза,elasticnet,lag_only,L1,validation,1.1442683151358466,1.1442683151358466,14.899327019998005,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2022,Кукурудза,elasticnet,lag_only,L1,test,0.2797713316171695,0.2797713316171695,4.40584774200267,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2023,Кукурудза,elasticnet,lag_only,L1,test,1.2602230992081251,1.2602230992081251,16.136019196006725,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2024,Кукурудза,elasticnet,lag_only,L1,test,0.11303727233500283,0.11303727233500283,1.7126859444697398,17,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
2019,Кукурудза,xgboost,lag_only,L1,validation,0.2003325843811039,0.2003325843811039,2.786266820321334,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}"
2020,Кукурудза,xgboost,lag_only,L1,validation,1.2122353363037108,1.2122353363037108,21.5700237776461,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}"
2021,Кукурудза,xgboost,lag_only,L1,validation,0.158558540344238,0.158558540344238,2.0645643273989323,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}"
2022,Кукурудза,xgboost,lag_only,L1,test,0.8003572463989261,0.8003572463989261,12.604051124392537,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}"
2023,Кукурудза,xgboost,lag_only,L1,test,0.9791470146179195,0.9791470146179195,12.537093657079637,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}"
2024,Кукурудза,xgboost,lag_only,L1,test,0.511268520355225,0.511268520355225,7.746492732654923,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}"
2019,Кукурудза,lightgbm,lag_only,L1,validation,1.0234969431841598,1.0234969431841598,14.235006163896522,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Кукурудза,lightgbm,lag_only,L1,validation,1.5797757877142429,1.5797757877142429,28.109889461107525,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Кукурудза,lightgbm,lag_only,L1,validation,0.5002906146259791,0.5002906146259791,6.5142007112757705,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2022,Кукурудза,lightgbm,lag_only,L1,test,1.174487722089589,1.174487722089589,18.495869639206127,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2023,Кукурудза,lightgbm,lag_only,L1,test,0.6360342612751086,0.6360342612751086,8.143844574585259,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2024,Кукурудза,lightgbm,lag_only,L1,test,0.6989339281183948,0.6989339281183948,10.589908001793862,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2019,Кукурудза,elasticnet,in_season,L1,validation,1.1933333333333342,1.1933333333333342,16.597125637459445,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2020,Кукурудза,elasticnet,in_season,L1,validation,0.49599999999999955,0.49599999999999955,8.825622775800705,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
